任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式,连续执行时长_小时
1,人工智能训练任务,456,118,280,低,区域D,150,2406,456,不可抢占,4.666666666666667
2,实时推理任务,1126,3,198,高,区域B,20,1130,1126,不可抢占,3.3
3,实时推理任务,914,5,224,高,区域B,20,918,914,不可抢占,3.7333333333333334
4,实时推理任务,419,3,97,高,区域C,20,421,419,不可抢占,1.6166666666666667
5,人工智能训练任务,2233,115,161,低,区域F,150,2406,2233,不可抢占,2.683333333333333
6,实时推理任务,1728,3,318,高,区域A,20,1734,1728,不可抢占,5.3
7,实时推理任务,122,2,303,高,区域A,20,128,122,不可抢占,5.05
8,实时推理任务,895,2,286,高,区域A,20,900,895,不可抢占,4.766666666666667
9,实时推理任务,2069,1,323,高,区域B,20,2075,2069,不可抢占,5.383333333333334
10,人工智能训练任务,108,37,245,低,区域E,150,2406,108,不可抢占,4.083333333333333
11,人工智能训练任务,814,104,68,低,区域F,150,2406,814,不可抢占,1.1333333333333333
12,人工智能训练任务,2232,57,197,低,区域F,150,2406,2232,不可抢占,3.283333333333333
13,批量推理任务,902,19,199,中,区域A,80,2406,902,不可抢占,3.316666666666667
14,批量推理任务,1139,18,60,中,区域B,80,2406,1139,不可抢占,1
15,实时推理任务,653,4,253,高,区域B,20,658,653,不可抢占,4.216666666666667
16,人工智能训练任务,1731,79,140,低,区域E,150,2406,1731,不可抢占,2.3333333333333335
17,批量推理任务,1138,8,144,中,区域D,80,2406,1138,不可抢占,2.4
18,实时推理任务,881,5,176,高,区域C,20,884,881,不可抢占,2.933333333333333
19,批量推理任务,418,21,98,中,区域A,80,2406,418,不可抢占,1.6333333333333333
20,实时推理任务,1556,4,251,高,区域A,20,1561,1556,不可抢占,4.183333333333334
21,实时推理任务,1470,2,355,高,区域A,20,1476,1470,不可抢占,5.916666666666667
22,批量推理任务,1083,5,101,中,区域C,80,2406,1083,不可抢占,1.6833333333333333
23,实时推理任务,1881,7,273,高,区域B,20,1886,1881,不可抢占,4.55
24,人工智能训练任务,511,62,215,低,区域F,150,2406,511,不可抢占,3.5833333333333335
25,批量推理任务,322,20,59,中,区域F,80,2406,322,不可抢占,0.9833333333333333
26,人工智能训练任务,1200,119,399,低,区域B,150,2406,1200,不可抢占,6.65
27,人工智能训练任务,1481,69,269,低,区域D,150,2406,1481,不可抢占,4.483333333333333
28,人工智能训练任务,787,69,200,低,区域D,150,2406,787,不可抢占,3.3333333333333335
29,人工智能训练任务,284,33,171,低,区域E,150,2406,284,不可抢占,2.85
30,实时推理任务,933,2,279,高,区域C,20,938,933,不可抢占,4.65
31,批量推理任务,326,19,224,中,区域E,80,2406,326,不可抢占,3.7333333333333334
32,实时推理任务,413,4,305,高,区域A,20,419,413,不可抢占,5.083333333333333
33,批量推理任务,1138,19,347,中,区域A,80,2406,1138,不可抢占,5.783333333333333
