到达小时,来源区域,图形处理器总需求
0,区域A,31
0,区域B,97
0,区域C,17
0,区域D,312
0,区域E,84
0,区域F,116
1,区域A,24
1,区域B,9
1,区域C,194
1,区域D,193
1,区域E,139
1,区域F,194
2,区域A,43
2,区域B,192
2,区域C,17
2,区域D,367
2,区域E,96
2,区域F,194
3,区域A,41
3,区域B,94
3,区域D,114
3,区域E,165
3,区域F,118
4,区域A,29
4,区域B,44
4,区域C,17
4,区域D,147
4,区域E,191
4,区域F,10
5,区域A,15
5,区域B,7
5,区域C,39
5,区域D,172
5,区域E,71
5,区域F,151
6,区域A,7
6,区域B,84
6,区域C,100
6,区域D,124
6,区域F,148
7,区域A,38
7,区域B,41
7,区域C,107
7,区域D,304
7,区域E,190
7,区域F,90
8,区域A,108
8,区域B,53
8,区域C,21
8,区域D,147
8,区域E,105
8,区域F,142
9,区域B,42
9,区域C,29
9,区域D,119
9,区域E,159
9,区域F,10
10,区域A,5
10,区域B,21
10,区域C,33
10,区域D,123
10,区域E,328
10,区域F,290
11,区域A,29
11,区域B,35
11,区域C,21
11,区域D,301
11,区域E,21
11,区域F,262
12,区域A,22
12,区域B,126
12,区域C,73
12,区域D,120
12,区域E,127
12,区域F,25
13,区域A,108
13,区域B,30
13,区域C,74
13,区域D,25
13,区域E,293
13,区域F,223
14,区域A,17
14,区域B,26
14,区域C,15
14,区域D,248
14,区域E,163
14,区域F,114
15,区域A,13
15,区域B,133
15,区域C,52
15,区域D,267
15,区域E,90
15,区域F,234
16,区域A,98
16,区域B,152
16,区域C,15
16,区域D,6
16,区域E,23
17,区域A,28
17,区域B,91
17,区域C,29
17,区域D,93
17,区域E,220
17,区域F,373
18,区域A,70
18,区域B,132
18,区域C,95
18,区域D,176
18,区域F,130
19,区域A,302
19,区域B,167
19,区域C,24
19,区域D,216
19,区域E,45
19,区域F,75
20,区域A,41
20,区域B,77
20,区域C,5
20,区域D,177
20,区域E,125
20,区域F,152
21,区域A,85
21,区域B,172
21,区域C,13
21,区域D,95
