任务编号,任务类型,来源区域,执行区域,图形处理器需求量,连续执行时长_小时,调度开工小时,调度完工小时
3498,实时推理任务,区域B,区域B,2,1.1833333333333331,2376,2378
3809,人工智能训练任务,区域F,区域F,32,1.6333333333333333,2376,2378
7403,批量推理任务,区域D,区域D,10,6.233333333333333,2376,2383
7902,批量推理任务,区域E,区域E,11,0.43333333333333335,2376,2377
9267,批量推理任务,区域E,区域E,7,0.36666666666666664,2376,2377
9415,人工智能训练任务,区域D,区域D,119,1.4666666666666666,2376,2378
11961,人工智能训练任务,区域E,区域E,111,4.1,2376,2381
14647,批量推理任务,区域A,区域A,11,1.2333333333333334,2376,2378
17820,实时推理任务,区域C,区域C,1,1.25,2376,2378
18201,批量推理任务,区域E,区域E,16,0.6666666666666666,2376,2377
26377,批量推理任务,区域B,区域B,17,6.433333333333334,2376,2383
29779,批量推理任务,区域F,区域F,17,5.6,2376,2382
31600,实时推理任务,区域B,区域B,3,5.05,2376,2382
33422,批量推理任务,区域B,区域B,9,6.183333333333334,2376,2383
33742,实时推理任务,区域A,区域A,3,2.5833333333333335,2376,2379
35335,人工智能训练任务,区域F,区域F,34,3.216666666666667,2376,2380
41926,实时推理任务,区域C,区域C,6,3.683333333333333,2376,2380
42169,人工智能训练任务,区域F,区域F,58,5.933333333333334,2376,2382
49940,实时推理任务,区域B,区域B,6,1.55,2376,2378
1540,人工智能训练任务,区域F,区域F,98,4.866666666666666,2377,2382
4202,人工智能训练任务,区域E,区域E,94,4.666666666666667,2377,2382
4316,实时推理任务,区域A,区域A,5,4.366666666666666,2377,2382
6423,实时推理任务,区域A,区域A,7,4.383333333333334,2377,2382
6481,实时推理任务,区域A,区域A,6,6.45,2377,2384
14780,人工智能训练任务,区域D,区域D,32,4.483333333333333,2377,2382
20392,人工智能训练任务,区域F,区域F,110,5.583333333333333,2377,2383
20965,实时推理任务,区域A,区域A,2,2.6333333333333333,2377,2380
21384,人工智能训练任务,区域C,区域C,110,3.6333333333333337,2377,2381
22636,实时推理任务,区域F,区域F,2,4.166666666666667,2377,2382
22926,批量推理任务,区域A,区域A,19,3.466666666666667,2377,2381
23479,人工智能训练任务,区域D,区域D,113,2.183333333333333,2377,2380
25757,批量推理任务,区域E,区域E,17,5.366666666666666,2377,2383
26783,批量推理任务,区域A,区域A,16,2.3,2377,2380
27509,人工智能训练任务,区域F,区域F,113,6.516666666666667,2377,2384
29589,实时推理任务,区域E,区域E,5,1.0166666666666666,2377,2379
29785,批量推理任务,区域E,区域E,17,5.533333333333333,2377,2383
