到达小时,图形处理器总需求,任务数
0,657,19
1,753,18
2,909,28
3,532,16
4,438,14
5,455,21
6,463,23
7,770,17
8,576,24
9,359,17
10,800,19
11,669,25
12,493,18
13,753,25
14,583,25
15,789,28
16,294,18
17,834,25
18,603,22
19,829,26
20,577,19
21,1105,21
22,249,17
23,435,21
24,676,19
25,405,17
26,688,24
27,727,24
28,1196,27
29,1024,29
30,396,15
31,178,15
32,1205,33
33,731,23
34,1140,34
35,423,15
36,691,15
37,504,16
38,542,20
39,531,27
40,719,25
41,664,16
42,473,24
43,585,21
44,916,22
45,504,19
46,418,19
47,385,14
48,800,25
49,664,23
50,488,17
51,572,21
52,295,19
53,850,21
54,537,20
55,523,12
56,536,23
57,863,30
58,634,22
59,142,12
60,546,19
61,857,24
62,513,16
63,745,20
64,469,15
65,413,16
66,772,24
67,764,25
68,286,13
69,1084,24
70,459,18
71,649,19
72,499,19
73,396,22
74,864,24
75,874,21
76,649,20
77,639,30
78,339,15
79,400,18
80,499,23
81,387,26
82,743,20
83,627,18
84,581,18
85,403,20
86,380,20
87,733,24
88,680,24
89,570,19
90,415,18
91,573,17
92,838,22
93,275,21
94,635,31
95,925,26
96,507,18
97,739,20
98,425,17
99,277,13
100,270,12
101,446,21
102,535,15
103,532,19
104,837,30
105,506,20
106,202,19
107,590,24
108,533,17
109,933,23
110,734,21
111,517,18
112,875,25
113,370,20
114,804,20
115,786,23
116,741,17
117,580,23
118,644,28
119,774,31
120,759,26
121,907,23
122,815,24
123,736,24
124,899,21
125,441,14
126,713,18
127,848,24
128,568,20
129,499,16
130,193,15
131,678,28
132,605,19
133,944,22
134,473,18
135,618,16
136,400,20
137,548,26
138,657,23
139,529,18
140,651,18
141,656,21
142,466,21
143,378,17
144,859,21
145,476,15
146,594,23
147,950,21
148,806,19
149,562,26
150,680,22
151,705,28
152,986,26
153,710,26
154,709,25
155,275,11
156,541,18
157,552,15
158,731,16
159,542,22
160,432,14
161,898,27
162,353,20
163,688,20
164,484,24
165,646,20
166,804,23
167,283,19
168,834,21
169,438,12
170,1080,23
171,793,22
172,484,18
173,773,17
174,560,19
175,724,20
176,363,14
177,474,25
178,458,12
179,600,31
180,617,20
181,580,25
182,697,20
183,822,29
184,927,25
185,570,22
186,328,19
187,577,18
188,734,24
189,491,17
190,813,25
191,601,19
192,996,32
193,491,27
194,626,15
195,1023,23
196,509,21
197,592,14
198,514,21
199,797,17
200,427,19
201,682,23
202,790,21
203,398,21
204,699,24
205,587,20
206,543,23
207,262,16
208,573,23
209,508,17
210,661,21
211,418,21
212,785,25
213,564,26
214,693,24
215,670,20
216,526,16
217,866,21
218,865,21
219,943,25
220,671,20
221,540,20
222,716,21
223,928,29
224,712,26
225,451,15
226,641,26
227,882,20
228,1005,23
229,1121,26
230,560,17
231,287,16
232,761,23
233,626,18
234,330,18
235,1046,20
236,842,16
237,403,22
238,472,15
239,363,18
240,666,22
241,710,21
242,535,18
243,772,20
244,568,19
245,828,25
246,674,15
247,512,23
248,332,17
249,721,25
250,1001,23
251,538,25
252,731,25
253,842,24
254,357,22
255,870,21
256,277,13
257,570,19
258,884,31
259,771,25
260,858,29
261,512,24
262,494,21
263,616,24
264,342,17
265,716,23
266,1016,27
267,516,15
268,564,21
269,602,18
270,997,26
271,992,22
272,354,19
273,705,23
274,263,23
275,1127,35
276,503,24
277,514,20
278,751,22
279,671,18
280,547,18
281,630,22
282,601,15
283,541,21
284,559,27
285,305,16
286,427,21
287,483,20
288,713,24
289,644,22
290,995,29
291,278,16
292,876,24
293,656,15
294,643,18
295,387,14
296,167,9
297,475,20
298,517,17
299,721,17
300,469,21
301,791,28
302,418,12
303,589,23
304,821,28
305,789,23
306,447,16
307,537,22
308,875,22
309,355,11
310,291,14
311,572,20
312,494,16
313,662,23
314,1313,26
315,793,19
316,608,17
317,742,21
318,1095,27
319,532,19
320,659,20
321,708,26
322,637,19
323,527,20
324,515,28
325,804,28
326,588,17
327,913,22
328,841,23
329,734,23
330,525,21
331,593,17
332,228,17
333,666,20
334,648,25
335,546,22
336,340,20
337,560,22
338,708,23
339,373,20
340,177,21
341,648,22
342,1138,24
343,404,11
344,547,13
345,543,17
346,870,21
347,933,30
348,741,28
349,569,23
350,584,17
351,754,28
352,337,13
353,656,24
354,503,22
355,517,22
356,866,24
357,453,19
358,548,19
359,557,19
360,666,17
