到达小时,图形处理器总需求,任务数,数据集
0,657,19,训练集
1,753,18,训练集
2,909,28,训练集
3,532,16,训练集
4,438,14,训练集
5,455,21,训练集
6,463,23,训练集
7,770,17,训练集
8,576,24,训练集
9,359,17,训练集
10,800,19,训练集
11,669,25,训练集
12,493,18,训练集
13,753,25,训练集
14,583,25,训练集
15,789,28,训练集
16,294,18,训练集
17,834,25,训练集
18,603,22,训练集
19,829,26,训练集
20,577,19,训练集
21,1105,21,训练集
22,249,17,训练集
23,435,21,训练集
24,676,19,训练集
25,405,17,训练集
26,688,24,训练集
27,727,24,训练集
28,1196,27,训练集
29,1024,29,训练集
30,396,15,训练集
31,178,15,训练集
32,1205,33,训练集
33,731,23,训练集
34,1140,34,训练集
35,423,15,训练集
36,691,15,训练集
37,504,16,训练集
38,542,20,训练集
39,531,27,训练集
40,719,25,训练集
41,664,16,训练集
42,473,24,训练集
43,585,21,训练集
44,916,22,训练集
45,504,19,训练集
46,418,19,训练集
47,385,14,训练集
48,800,25,训练集
49,664,23,训练集
50,488,17,训练集
51,572,21,训练集
52,295,19,训练集
53,850,21,训练集
54,537,20,训练集
55,523,12,训练集
56,536,23,训练集
57,863,30,训练集
58,634,22,训练集
59,142,12,训练集
60,546,19,训练集
61,857,24,训练集
62,513,16,训练集
63,745,20,训练集
64,469,15,训练集
65,413,16,训练集
66,772,24,训练集
67,764,25,训练集
68,286,13,训练集
69,1084,24,训练集
70,459,18,训练集
71,649,19,训练集
72,499,19,训练集
73,396,22,训练集
74,864,24,训练集
75,874,21,训练集
76,649,20,训练集
77,639,30,训练集
78,339,15,训练集
79,400,18,训练集
80,499,23,训练集
81,387,26,训练集
82,743,20,训练集
83,627,18,训练集
84,581,18,训练集
85,403,20,训练集
86,380,20,训练集
87,733,24,训练集
88,680,24,训练集
89,570,19,训练集
90,415,18,训练集
91,573,17,训练集
92,838,22,训练集
93,275,21,训练集
94,635,31,训练集
95,925,26,训练集
96,507,18,训练集
97,739,20,训练集
98,425,17,训练集
99,277,13,训练集
100,270,12,训练集
101,446,21,训练集
102,535,15,训练集
103,532,19,训练集
104,837,30,训练集
105,506,20,训练集
106,202,19,训练集
107,590,24,训练集
108,533,17,训练集
109,933,23,训练集
110,734,21,训练集
111,517,18,训练集
112,875,25,训练集
113,370,20,训练集
114,804,20,训练集
115,786,23,训练集
116,741,17,训练集
117,580,23,训练集
118,644,28,训练集
119,774,31,训练集
120,759,26,训练集
121,907,23,训练集
122,815,24,训练集
123,736,24,训练集
124,899,21,训练集
125,441,14,训练集
126,713,18,训练集
127,848,24,训练集
128,568,20,训练集
129,499,16,训练集
130,193,15,训练集
131,678,28,训练集
132,605,19,训练集
133,944,22,训练集
134,473,18,训练集
135,618,16,训练集
136,400,20,训练集
137,548,26,训练集
138,657,23,训练集
139,529,18,训练集
140,651,18,训练集
141,656,21,训练集
142,466,21,训练集
143,378,17,训练集
144,859,21,训练集
145,476,15,训练集
146,594,23,训练集
147,950,21,训练集
148,806,19,训练集
149,562,26,训练集
150,680,22,训练集
151,705,28,训练集
152,986,26,训练集
153,710,26,训练集
154,709,25,训练集
155,275,11,训练集
156,541,18,训练集
157,552,15,训练集
158,731,16,训练集
159,542,22,训练集
160,432,14,训练集
161,898,27,训练集
162,353,20,训练集
163,688,20,训练集
164,484,24,训练集
165,646,20,训练集
166,804,23,训练集
167,283,19,训练集
168,834,21,训练集
169,438,12,训练集
170,1080,23,训练集
171,793,22,训练集
172,484,18,训练集
173,773,17,训练集
174,560,19,训练集
175,724,20,训练集
176,363,14,训练集
177,474,25,训练集
178,458,12,训练集
179,600,31,训练集
180,617,20,训练集
181,580,25,训练集
182,697,20,训练集
183,822,29,训练集
184,927,25,训练集
185,570,22,训练集
186,328,19,训练集
187,577,18,训练集
188,734,24,训练集
189,491,17,训练集
190,813,25,训练集
191,601,19,训练集
192,996,32,训练集
193,491,27,训练集
194,626,15,训练集
195,1023,23,训练集
196,509,21,训练集
197,592,14,训练集
198,514,21,训练集
199,797,17,训练集
200,427,19,训练集
201,682,23,训练集
202,790,21,训练集
203,398,21,训练集
204,699,24,训练集
205,587,20,训练集
206,543,23,训练集
207,262,16,训练集
208,573,23,训练集
209,508,17,训练集
210,661,21,训练集
211,418,21,训练集
212,785,25,训练集
213,564,26,训练集
214,693,24,训练集
215,670,20,训练集
216,526,16,训练集
217,866,21,训练集
218,865,21,训练集
219,943,25,训练集
220,671,20,训练集
221,540,20,训练集
222,716,21,训练集
223,928,29,训练集
224,712,26,训练集
225,451,15,训练集
226,641,26,训练集
227,882,20,训练集
228,1005,23,训练集
229,1121,26,训练集
230,560,17,训练集
231,287,16,训练集
232,761,23,训练集
233,626,18,训练集
234,330,18,训练集
235,1046,20,训练集
236,842,16,训练集
237,403,22,训练集
238,472,15,训练集
239,363,18,训练集
240,666,22,训练集
241,710,21,训练集
242,535,18,训练集
243,772,20,训练集
244,568,19,训练集
245,828,25,训练集
246,674,15,训练集
247,512,23,训练集
248,332,17,训练集
249,721,25,训练集
250,1001,23,训练集
251,538,25,训练集
252,731,25,训练集
