到达小时,真实值,ETS,ARIMA,分解ARIMA,分解LightGBM
2376,473,612.9320842857895,612.8640572390593,42.73172330633031,519.1293525878203
2377,1092,612.9320842857895,612.8640572390593,-20.791325887101493,564.9276036764576
2378,923,612.9320842857895,612.8640572390593,60.079994441717304,501.4518646781038
2379,662,612.9320842857895,612.8640572390593,227.9847842622127,591.6894233952027
2380,869,612.9320842857895,612.8640572390593,384.9991302329382,585.7206427256187
2381,786,612.9320842857895,612.8640572390593,471.0971320054131,572.099765252578
2382,461,612.9320842857895,612.8640572390593,514.3707356758299,629.6066319017123
2383,674,612.9320842857895,612.8640572390593,541.9031170971455,508.0060767432557
2384,536,612.9320842857895,612.8640572390593,554.3901310985733,523.7065671259443
2385,732,612.9320842857895,612.8640572390593,551.1746257917293,625.2510956094542
2386,646,612.9320842857895,612.8640572390593,539.7872610364977,463.77009859759977
2387,994,612.9320842857895,612.8640572390593,529.9877205679547,502.8387030008172
2388,669,612.9320842857895,612.8640572390593,528.6752268517508,509.3200130607924
2389,594,612.9320842857895,612.8640572390593,539.2428990508985,667.7156757310008
2390,1049,612.9320842857895,612.8640572390593,561.7334157754696,503.6088447901715
2391,781,612.9320842857895,612.8640572390593,592.6308148895494,598.5812538229255
2392,723,612.9320842857895,612.8640572390593,625.9831098077317,495.4398293321824
2393,358,612.9320842857895,612.8640572390593,656.0200940468562,649.9240935370922
2394,987,612.9320842857895,612.8640572390593,679.2122082461492,702.0257114916237
2395,733,612.9320842857895,612.8640572390593,694.3739410819214,572.1598022225229
2396,722,612.9320842857895,612.8640572390593,701.4582091070284,687.9401696418408
2397,573,612.9320842857895,612.8640572390593,700.4430002852475,567.2751129119517
2398,867,612.9320842857895,612.8640572390593,691.0049051287782,552.6519700425637
2399,545,612.9320842857895,612.8640572390593,672.8391762476164,565.0755631997251
