源区域,目标区域,网络时延,时延等级
区域A,区域A,5,本地
区域A,区域B,12,区域内
区域A,区域C,15,区域内
区域A,区域D,65,远距离
区域A,区域E,78,远距离
区域A,区域F,82,远距离
区域B,区域A,12,区域内
区域B,区域B,5,本地
区域B,区域C,14,区域内
区域B,区域D,60,区域间
区域B,区域E,74,远距离
区域B,区域F,79,远距离
区域C,区域A,15,区域内
区域C,区域B,14,区域内
区域C,区域C,5,本地
区域C,区域D,58,区域间
区域C,区域E,70,远距离
区域C,区域F,76,远距离
区域D,区域A,65,远距离
区域D,区域B,60,区域间
区域D,区域C,58,区域间
区域D,区域D,5,本地
区域D,区域E,22,区域内
区域D,区域F,25,区域内
区域E,区域A,78,远距离
区域E,区域B,74,远距离
区域E,区域C,70,远距离
区域E,区域D,22,区域内
区域E,区域E,5,本地
区域E,区域F,18,区域内
区域F,区域A,82,远距离
区域F,区域B,79,远距离
区域F,区域C,76,远距离
区域F,区域D,25,区域内
区域F,区域E,18,区域内
区域F,区域F,5,本地
