调度时段编号,区域编号,电价时段,购电价格,售电价格,碳强度,人工智能训练任务功率,图形处理器利用率,可用新能源出力,直接消纳新能源,新能源充电功率,弃风弃光功率,信息技术侧负荷,设施侧总负荷,电网购电功率,电网充电功率,外送售电功率,净购电功率,碳排放量,需求响应等级,储能荷电状态,储能充电功率,储能放电功率,基准人工智能信息技术负荷,非人工智能信息技术负荷,数据时段
0,区域A,谷,468.0,0.0,0.6679,0.0,3.07672,540.19,59.8979,55.0,425.2921,369.74,499.149,457.2511,18.0,0.0,457.2511,305.398,中,225.39,73.0,0.0,1.7583333333,367.981667,主时域0_2399
0,区域B,谷,448.5,0.0,0.6248,13.4133333333,16.381766,540.19,68.8115,49.5,421.8785,339.81,458.7435,406.132,16.2,0.0,406.132,253.7513,中,205.101,65.7,0.0,14.3733333333,325.436667,主时域0_2399
0,区域C,谷,435.5,0.0,0.5925,0.0,2.987654,540.19,84.2598,46.75,409.1802,339.21,468.1098,399.15,15.3,0.0,399.15,236.4964,中,192.7065,62.05,0.0,1.5506666667,337.659333,主时域0_2399
0,区域D,谷,279.5,218.01,0.4525,49.92,21.195652,540.19,161.3846,75.7611,136.37,346.36,443.3408,344.3562,62.4,166.6744,177.6818,155.8212,低,534.8714,138.1611,0.0,49.92,296.44,主时域0_2399
0,区域E,谷,247.0,192.66,0.237,9.76,8.300395,540.19,246.6269,58.7126,105.6827,358.73,448.4125,259.3856,57.6,129.1678,130.2178,61.4744,低,478.3339,116.3126,0.0,12.06,346.67,主时域0_2399
0,区域F,谷,260.0,202.8,0.2801,18.56,12.008282,540.19,292.9777,49.4425,88.9964,376.97,478.7519,245.7742,60.0,108.7734,137.0008,68.8413,低,485.3759,109.4425,0.0,18.56,358.41,主时域0_2399
1,区域A,谷,468.31,0.0,0.6703,0.0,6.031746,587.87,64.2508,55.0,468.6192,396.61,535.4235,489.1727,18.0,0.0,489.1727,327.8924,中,293.28,73.0,0.0,3.58,393.03,主时域0_2399
1,区域B,谷,448.79,0.0,0.6271,8.0,11.185185,587.87,79.1005,49.5,459.2695,390.62,527.337,464.4364,16.2,0.0,464.4364,291.2481,中,266.202,65.7,0.0,9.2346666667,381.385333,主时域0_2399
1,区域C,谷,435.78,0.0,0.5946,28.32,37.617284,587.87,96.5779,46.75,444.5421,388.8,536.544,455.2661,15.3,0.0,455.2661,270.7012,中,250.413,62.05,0.0,30.924,357.876,主时域0_2399
1,区域D,谷,279.68,218.15,0.4541,57.168,25.536685,587.87,168.0041,83.9732,155.8927,363.56,465.3568,359.7527,62.4,180.0,179.7527,163.3637,低,672.4622,146.3732,0.0,58.976,304.584,主时域0_2399
1,区域E,谷,247.16,192.78,0.2378,13.4666666667,10.475955,587.87,273.4806,62.8779,113.1802,397.79,497.2375,281.3569,57.6,138.3313,143.0255,66.9067,低,591.5831,120.4779,0.0,15.6516666667,382.138333,主时域0_2399
1,区域F,谷,260.17,202.93,0.2811,49.6,32.091097,587.87,286.006,60.3728,108.6711,364.43,462.8261,236.8201,60.0,132.8202,104.0,66.5701,低,598.5263,120.3728,0.0,49.6,314.83,主时域0_2399
2,区域A,谷,468.61,0.0,0.6693,0.0,12.849206,650.0,65.3184,42.9892,541.6924,403.2,544.32,497.0016,18.0,0.0,497.0016,332.6432,中,350.0,60.9892,0.0,7.536,395.664,主时域0_2399
2,区域B,谷,449.08,0.0,0.6261,26.1066666667,38.45584,650.0,79.704,41.6473,528.6487,393.6,531.36,467.856,16.2,0.0,467.856,292.9246,中,320.0,57.8473,0.0,31.8106666667,361.789333,主时域0_2399
2,区域C,谷,436.07,0.0,0.5937,28.32,39.074074,650.0,96.5779,38.0194,515.4027,388.8,536.544,455.2661,15.3,0.0,455.2661,270.2915,中,300.0,53.3194,0.0,31.7,357.1,主时域0_2399
2,区域D,谷,279.86,218.29,0.4534,95.68,44.924139,650.0,189.4349,92.113,188.4521,411.1,526.208,399.1731,62.4,180.0,219.1731,180.9851,低,817.7044,154.513,0.0,102.0083333333,309.091667,主时域0_2399
2,区域E,谷,247.32,192.91,0.2375,17.6,13.142292,650.0,276.87,74.626,134.3268,402.72,503.4,284.13,57.6,164.1772,119.9528,67.4809,低,715.8755,132.226,0.0,19.9,382.82,主时域0_2399
2,区域F,谷,260.34,203.07,0.2807,80.64,52.173913,650.0,315.4246,66.9151,120.4472,400.59,508.7493,253.3247,60.0,147.2132,106.1115,71.1083,低,717.8265,126.9151,0.0,80.64,319.95,主时域0_2399
3,区域A,谷,468.91,0.0,0.665,0.0,18.849206,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,318.5361,中,350.0,0.0,0.0,10.915,392.285,主时域0_2399
3,区域B,谷,449.38,0.0,0.6221,22.104,37.917379,722.35,79.704,0.0,642.646,393.6,531.36,451.656,0.0,0.0,451.656,280.9752,中,320.0,0.0,0.0,30.068,363.532,主时域0_2399
3,区域C,谷,436.35,0.0,0.59,28.32,39.074074,722.35,96.5779,0.0,625.7721,388.8,536.544,439.9661,0.0,0.0,439.9661,259.58,中,300.0,0.0,0.0,31.7,357.1,主时域0_2399
3,区域D,谷,280.05,218.44,0.4505,90.9306666667,43.625453,722.35,189.1456,25.1485,328.0559,409.31,523.9168,397.1712,62.4,180.0,217.1712,178.9256,低,900.0,87.5485,0.0,98.3156666667,310.994333,主时域0_2399
3,区域E,谷,247.48,193.03,0.236,42.56,29.44664,722.35,299.75,53.1707,166.2432,436.0,545.0,302.85,57.6,203.1861,99.6639,71.4726,低,820.0,110.7707,0.0,45.76,390.24,主时域0_2399
3,区域F,谷,260.51,203.2,0.2789,99.52,64.389234,722.35,338.2896,76.8121,138.2618,431.05,547.4335,269.1439,60.0,168.9866,100.1573,75.0642,低,846.4299,136.8121,0.0,99.52,331.53,主时域0_2399
4,区域A,谷,469.22,0.0,0.6578,0.0,21.931217,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,315.0873,中,350.0,0.0,0.0,12.6466666667,390.553333,主时域0_2399
4,区域B,谷,449.67,0.0,0.6154,21.6,36.757835,800.0,79.704,0.0,720.296,393.6,531.36,451.656,0.0,0.0,451.656,277.9491,中,320.0,0.0,0.0,29.2453333333,364.354667,主时域0_2399
4,区域C,谷,436.63,0.0,0.5836,28.32,42.222222,800.0,96.5779,0.0,703.4221,388.8,536.544,439.9661,0.0,0.0,439.9661,256.7642,中,300.0,0.0,0.0,33.3,355.5,主时域0_2399
4,区域D,谷,280.23,218.58,0.4456,98.856,44.241395,800.0,214.1202,0.0,405.8798,459.54,588.2112,374.091,0.0,180.0,194.091,166.695,低,900.0,0.0,0.0,102.1943333333,357.345667,主时域0_2399
4,区域E,谷,247.64,193.16,0.2334,67.2666666667,43.346509,800.0,306.1781,0.0,273.8219,445.35,556.6875,250.5094,0.0,220.0,30.5094,58.4689,低,820.0,0.0,0.0,69.0916666667,376.258333,主时域0_2399
4,区域F,谷,260.68,203.33,0.2759,99.52,65.424431,800.0,342.1739,0.0,237.8261,440.27,559.1429,220.767,3.798,220.0,0.767,60.9096,中,850.0,3.798,0.0,100.52,339.75,主时域0_2399
5,区域A,谷,469.52,0.0,0.6483,0.0,22.714286,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,310.5367,中,350.0,0.0,0.0,13.01,390.19,主时域0_2399
5,区域B,谷,449.96,0.0,0.6064,9.4666666667,24.51567,877.65,79.704,0.0,797.946,393.6,531.36,451.656,0.0,0.0,451.656,273.8842,中,320.0,0.0,0.0,17.4466666667,376.153333,主时域0_2399
5,区域C,谷,436.91,0.0,0.5751,17.736,36.669753,877.65,96.5779,0.0,781.0721,388.8,536.544,439.9661,0.0,0.0,439.9661,253.0245,中,300.0,0.0,0.0,26.2726666667,362.527333,主时域0_2399
5,区域D,谷,280.41,218.72,0.4391,97.3653333333,43.632246,877.65,217.3494,0.0,480.3006,460.44,589.3632,372.0138,0.0,180.0,192.0138,163.3513,低,900.0,0.0,0.0,100.6786666667,359.761333,主时域0_2399
5,区域E,谷,247.8,193.28,0.23,50.296,34.184783,877.65,313.6719,0.0,343.9781,456.25,570.3125,256.6406,0.0,220.0,36.6406,59.0273,中,820.0,0.0,0.0,53.396,402.854,主时域0_2399
5,区域F,谷,260.84,203.46,0.2719,90.0266666667,59.903382,877.65,356.9488,0.0,300.7012,466.55,592.5185,235.5697,0.0,220.0,15.5697,64.0514,中,850.0,0.0,0.0,91.6266666667,374.923333,主时域0_2399
6,区域A,谷,469.82,0.0,0.637,0.0,18.843915,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,中,350.0,0.0,0.0,10.7173333333,392.482667,主时域0_2399
6,区域B,谷,450.24,0.0,0.5959,0.0,24.928775,950.0,79.704,0.0,870.296,393.6,531.36,451.656,0.0,0.0,451.656,269.1418,中,320.0,0.0,0.0,13.705,379.895,主时域0_2399
6,区域C,谷,437.19,0.0,0.5651,24.976,43.861111,950.0,96.5779,0.0,853.4221,388.8,536.544,439.9661,0.0,0.0,439.9661,248.6248,中,300.0,0.0,0.0,32.788,356.012,主时域0_2399
6,区域D,谷,280.59,218.86,0.4315,79.96,35.716712,950.0,220.2528,0.0,549.7472,458.86,587.3408,367.088,0.0,180.0,187.088,158.3985,低,900.0,0.0,0.0,82.5,376.36,主时域0_2399
6,区域E,谷,247.96,193.41,0.226,33.4933333333,22.661397,950.0,325.5381,0.0,404.4619,473.51,591.8875,266.3494,0.0,220.0,46.3494,60.195,中,820.0,0.0,0.0,35.4333333333,438.076667,主时域0_2399
6,区域F,谷,261.01,203.59,0.2671,72.472,48.942374,950.0,362.1292,0.0,367.8708,483.29,613.7783,251.6491,0.0,220.0,31.6491,67.2155,中,850.0,0.0,0.0,74.4553333333,408.834667,主时域0_2399
7,区域A,平,723.26,0.0,0.6248,2.88,18.470899,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,299.2802,中,350.0,0.0,0.0,11.8893333333,391.310667,主时域0_2399
7,区域B,平,693.12,0.0,0.5845,3.08,26.094017,1012.13,79.704,0.0,932.426,393.6,531.36,451.656,0.0,0.0,451.656,263.9929,中,320.0,0.0,0.0,15.5786666667,378.021333,主时域0_2399
7,区域C,平,673.03,0.0,0.5543,31.2906666667,46.179012,1012.13,96.5779,0.0,915.5521,388.8,536.544,439.9661,0.0,0.0,439.9661,243.8732,中,300.0,0.0,0.0,36.5106666667,352.289333,主时域0_2399
7,区域D,平,431.95,336.92,0.4233,103.9466666667,46.336051,1012.13,232.1741,0.0,599.9559,474.54,607.4112,375.2371,0.0,180.0,195.2371,158.8379,低,900.0,0.0,0.0,107.1676666667,367.372333,主时域0_2399
7,区域E,平,381.72,297.74,0.2217,35.7573333333,26.035903,1012.13,349.0186,0.0,443.1114,468.02,585.025,236.0064,0.0,220.0,16.0064,52.3226,中,820.0,0.0,0.0,39.6973333333,428.322667,主时域0_2399
7,区域F,平,401.81,313.41,0.262,72.8,52.163561,1012.13,328.279,0.0,463.851,449.13,570.3951,242.1161,0.0,220.0,22.1161,63.4344,中,850.0,0.0,0.0,77.69,371.44,主时域0_2399
8,区域A,平,723.71,0.0,0.6126,15.68,28.690476,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,293.4364,中,350.0,0.0,0.0,23.38,379.82,主时域0_2399
8,区域B,平,693.56,0.0,0.5731,4.96,26.621083,1059.81,79.704,0.0,980.106,393.6,531.36,451.656,0.0,0.0,451.656,258.8441,中,320.0,0.0,0.0,16.2946666667,377.305333,主时域0_2399
8,区域C,平,673.45,0.0,0.5435,30.88,48.246914,1059.81,96.5779,0.0,963.2321,388.8,536.544,439.9661,0.0,0.0,439.9661,239.1216,中,300.0,0.0,0.0,37.0533333333,351.746667,主时域0_2399
