FromRegion,ToRegion,NetworkLatency_ms,LatencyClass
RegionA,RegionA,5,Local
RegionA,RegionB,12,Regional
RegionA,RegionC,15,Regional
RegionA,RegionD,65,LongDistance
RegionA,RegionE,78,LongDistance
RegionA,RegionF,82,LongDistance
RegionB,RegionA,12,Regional
RegionB,RegionB,5,Local
RegionB,RegionC,14,Regional
RegionB,RegionD,60,InterRegional
RegionB,RegionE,74,LongDistance
RegionB,RegionF,79,LongDistance
RegionC,RegionA,15,Regional
RegionC,RegionB,14,Regional
RegionC,RegionC,5,Local
RegionC,RegionD,58,InterRegional
RegionC,RegionE,70,LongDistance
RegionC,RegionF,76,LongDistance
RegionD,RegionA,65,LongDistance
RegionD,RegionB,60,InterRegional
RegionD,RegionC,58,InterRegional
RegionD,RegionD,5,Local
RegionD,RegionE,22,Regional
RegionD,RegionF,25,Regional
RegionE,RegionA,78,LongDistance
RegionE,RegionB,74,LongDistance
RegionE,RegionC,70,LongDistance
RegionE,RegionD,22,Regional
RegionE,RegionE,5,Local
RegionE,RegionF,18,Regional
RegionF,RegionA,82,LongDistance
RegionF,RegionB,79,LongDistance
RegionF,RegionC,76,LongDistance
RegionF,RegionD,25,Regional
RegionF,RegionE,18,Regional
RegionF,RegionF,5,Local
